      4 10.1079
      7 10.1149
   4157 10.1155
      5 10.1186
     21 10.1210
      1 10.12688
      1 10.12911
  14931 10.1371
      4 10.14434
      1 10.1629
      2 10.16995
     13 10.17077
      1 10.17161
     12 10.20850
     30 10.22541
   3667 10.2298
  12622 10.31219
    117 10.31220
      5 10.31221
     39 10.31222
     24 10.31223
    209 10.31224
     12 10.31226
   1695 10.31227
     95 10.31228'
     17 10.31229
      1 10.31230
    120 10.31231
     42 10.31232
   1818 10.31234
    981 10.31235
     17 10.31236
    463 10.31237
      5 10.31730
      7 10.33774
      4 10.3390
     51 10.35542
     68 10.36227
      1 10.37044
      8 10.38140
      2 10.5194
      2 10.5210
      1 10.53962
      4 10.5479
     31 10.7287
    986 10.7554
    119 10.7717
