qid,cran
Q98974089,BAS
Q113111334,BASiNET
Q104854189,dplyr
Q113018345,future
Q326489,ggplot2
Q105209416,gganimate
Q4798127,knitr
Q17146476,plotly
Q28957051,qdap
Q102187923,quanteda
Q59154648,rdflib
Q113995495,rgeos
Q85699649,Seurat
Q102537983,WGCNA
