Q33792634|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q34628374|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35055605|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q27496518|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36343603|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q58725366|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q97567743|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q35907492|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33590114|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q33744456|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33744489|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33893293|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33817492|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q34606991|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33594892|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q36271926|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q21284254|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34349554|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33261254|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q64052921|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33492569|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q31131810|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q112725268|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q61446216|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q61443849|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q42998453|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q33776276|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33898563|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q31142883|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q34488540|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33283630|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q35926542|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33279182|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33529487|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q104755408|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q50532078|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q34152959|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q38599466|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33374429|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q47396067|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
