Q98157702|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q97526519|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q52598766|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q40081291|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q104132564|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q60044079|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q55355478|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q55253525|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33612388|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89579307|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q57456045|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33959854|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q64965954|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q94460559|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q96683148|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q104801871|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q30397883|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q99348747|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q49392388|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33909372|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q93083484|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q96810668|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q28727383|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91283954|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q59789643|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q36305079|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q47164999|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35961579|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q96228135|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q30804448|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34100932|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q42713948|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33484446|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q90796546|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q64097072|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33912971|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q33724852|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q30993519|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q33288471|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q41907932|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34333439|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34333469|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30572613|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q35013607|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33528295|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q28603730|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33313203|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q34485897|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q26782613|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q91229495|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q36315490|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q27009383|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q64904319|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91737313|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q92707986|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q92057326|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q92535720|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q92997383|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q91246312|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q98903922|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q42371119|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q94503559|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q100300956|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q94959859|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91046494|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90155325|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q91938014|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q40517936|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q90480774|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q40476405|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q54978616|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q98288104|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q52590593|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q42883480|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30761131|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28749692|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q30409248|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q55127949|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q90480549|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q89552993|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q60934081|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q58605034|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q92594168|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q46237755|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q112294811|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q52575762|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q43538023|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q46647330|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33786699|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q41463387|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q40960869|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q35773104|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q59806550|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q54940704|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q97647267|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q41259603|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q100404362|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q91633787|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q39358609|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q36320205|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q97546941|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q60937379|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q97523783|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q103805923|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34618687|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q61443157|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104071285|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q89975792|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q101562188|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q92716761|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q35957063|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q58793420|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q37690705|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36245550|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q101136985|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34173563|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q37307937|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q38726649|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q112297407|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q39635774|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q38288935|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q30044592|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q93145205|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q31118906|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q42730673|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64903772|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q101452923|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91634076|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90782661|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q57641649|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q99251011|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q37148663|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q58775872|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104261821|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q100518673|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q36643200|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q99370857|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q95295338|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q22252888|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q37679670|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q59529111|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q91737683|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q92024512|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104457217|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q98183940|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q47160824|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q30398239|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q35920034|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q36529611|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q36478698|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q24800766|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q98783573|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q36526997|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q61798906|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q37221213|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q103794248|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35769375|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89786382|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30396834|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33986832|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q30788258|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q28069738|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q94542464|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q89659910|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q38624312|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q92027386|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q64084545|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q48115098|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q47136374|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q30379865|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q92853530|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q37605598|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q64235319|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q90352698|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89101556|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q97679305|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104556342|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q37726771|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q104484850|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q37176111|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q36405319|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64925340|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q92980146|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q57127486|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q100449125|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q60310031|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q64936862|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q89447963|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q99590812|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q90372074|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104484947|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q92085787|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q97679314|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q42007426|P4510|Q114076767|P1932|"MODA"|S248|Q114078827
Q92120255|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q26774182|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q55245348|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q92440413|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q50233220|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q99571117|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90724329|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q92756134|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q95276249|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q31127442|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q41788177|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q89699842|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q41775744|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34461537|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91493610|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q60920959|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89960322|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q37658102|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34529436|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112292923|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q28501839|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q54218191|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q97067381|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q59126061|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89488070|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q61808261|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q61445030|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q64068815|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q90775123|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91868516|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104613427|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q38997815|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91325673|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104746895|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q59612581|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34168342|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q98732664|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q95928487|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q41279229|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34174574|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q47126896|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33651786|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q91037972|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q38108680|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q91126643|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q90852546|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90377163|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36447406|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q35619719|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28487289|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36594747|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33726399|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64974172|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q26825114|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q90965507|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104489684|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q95282301|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34986584|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64275165|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q110644655|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36869332|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q37176907|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90582700|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34061987|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q35367093|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q91554592|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q59357012|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q92050198|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q96019469|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q96294581|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q98949221|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q98885140|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q90216170|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q36908267|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35181734|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q21245094|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q61447399|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q40065668|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q28660552|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q99876108|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q89704858|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q46836410|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q47552125|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q28550026|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64116179|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q96614767|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q33129173|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q55209892|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q37258014|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q92355529|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q60642827|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q28647310|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q26752280|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64945110|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q26779831|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q89835646|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q42946163|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q96681555|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q90575834|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q64267617|P4510|Q114076767|P1932|"MODA"|S248|Q114078827
Q92670207|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91794474|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q61799435|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28601682|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q91867391|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q61445064|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q64917243|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q92240232|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q46243291|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28607291|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28603076|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q98651233|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91428794|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q41951797|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q93188879|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28601295|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q112586505|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q47148168|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q90449026|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q60921022|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q90428112|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q99581560|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q31157693|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q110949670|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q110950321|P4510|Q114076767|P1932|"MODA"|S248|Q114078827
Q110950372|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q28822550|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q94515376|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q93081733|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q96773981|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q38645784|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q61800406|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q57070376|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q40510591|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q61800410|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34079404|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q96640850|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q89639101|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q112716311|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q40235085|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q37604333|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q41221862|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35690119|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q36851106|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104061518|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q98201915|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q99414448|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q37101278|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q24288791|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q35597254|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64121166|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101406945|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q102215358|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q37038066|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33399874|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q90356385|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34987978|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q27333830|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q58764571|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q92803555|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q28475474|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q56333675|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q36371998|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q28710477|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q55092265|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q61658708|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33747657|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28476004|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q58587959|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q90135375|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q28475693|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q35067182|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q35568934|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35568934|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q36284124|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28472464|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q58789782|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36078716|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q104574078|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30479616|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q36082996|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91396066|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28477930|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q55342498|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q30471421|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q30985446|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34481863|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q27311093|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q50062511|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q50062511|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q64072309|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33641446|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64109188|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35788753|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q34192877|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33778677|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q35928651|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35418401|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q35361457|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35752339|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q98223231|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q21144984|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q23936599|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q96770535|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q104129939|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q56985336|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q34961997|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
